Layer,>0.8,>0.5,>0.2,>0.1,>0.05,>0.01
0,45,182,1533,3703,6208,10387
1,2,72,882,4974,10326,11008
2,7,30,390,4072,10492,11005
3,8,63,543,4124,9716,11000
4,7,72,799,3951,8966,10976
5,13,135,926,3630,8109,10933
6,16,135,1062,3479,7832,10877
7,21,164,1241,3475,7153,10799
8,10,147,1294,3605,6778,10744
9,19,198,1392,3621,6906,10693
10,5,172,1441,3440,6305,10565
11,16,199,1448,3482,6416,10606
12,17,230,1711,3997,7056,10717
13,5,161,1444,3455,6358,10633
14,15,240,1732,4248,7573,10826
15,3,153,1332,3523,6999,10801
16,17,275,1292,3855,7964,10877
17,3,150,1006,4225,8715,10918
18,5,100,730,4367,9187,10965
19,4,133,836,5676,9817,10978
20,7,121,665,5882,10095,10983
21,14,94,1189,8535,10637,11005
22,1,30,362,6740,10486,11002
23,11,55,1030,9200,10774,11003
24,1,17,257,7458,10642,10992
25,2,24,168,6590,10495,10978
26,14,49,1197,9572,10650,10972
27,8,53,625,8300,10441,10947
28,7,81,583,6937,10355,10934
29,17,129,604,5401,10251,10911
30,34,188,747,2896,9464,10855
31,142,379,1196,2483,6211,10753
